Fecha,Temp_Maxima_Superficie_C,Temp_Minima_Superficie_C,Radiacion_Solar_Maxima_W_m2,Actividad_Agua_Minima_aw
2025-12-14,38.1,8.08,1122.2312,0.2639
2025-12-15,40.12,9.17,1119.4533999999999,0.2043
2025-12-16,39.7,10.76,1125.0089999999998,0.225
2025-12-17,41.37,8.96,1130.5646,0.1747
2025-12-18,39.87,9.03,1125.0089999999998,0.20379999999999998
2025-12-19,40.71,9.16,1116.6755999999998,0.16149999999999998
2025-12-20,40.5,9.88,1141.6758,0.2191
2025-12-21,41.11,10.77,1136.1201999999998,0.2002
2025-12-22,40.44,8.54,1119.4533999999999,0.1725
2025-12-23,40.52,7.36,1136.1201999999998,0.2048
2025-12-24,39.94,10.57,1125.0089999999998,0.2421
2025-12-25,39.49,12.66,1138.8979999999997,0.2601
2025-12-26,41.87,11.41,1075.0086,0.17859999999999998
2025-12-27,40.5,10.59,891.6737999999999,0.19269999999999998
2025-12-28,41.35,10.68,1072.2307999999998,0.19510000000000002
2025-12-29,42.12,9.91,1100.0087999999998,0.1693
2025-12-30,42.28,10.51,1138.8979999999997,0.20829999999999999
2025-12-31,42.41,12.09,1141.6758,0.2227
